Subj	AssessmentTime	Rater	Total	TotProc	TotErgo	Global	Time	Passes	Visualization	EquipPrep	Target	Stability	NeedleManip	VisualFocus	InjSpread	CathTip	MachinePosition	NoFlex	NoHeadRot	NoShoulderTilt	NoCrossing
1	0	1	12	9	3	1	2	0	0	2	0	2	2	1	0	0	0	1	0	0	2
1	0	2	10	6	4	1	2	0	0	1	0	1	1	1	0	0	0	1	0	1	2
1	1	1	12	9	3	1	1	2	1	2	0	1	1	1	0	0	0	0	0	1	2
1	1	2	13	9	4	2	1	2	1	1	1	1	1	1	0	0	0	0	0	2	2
1	2	1	18	10	8	2	2	1	1	1	1	1	1	2	0	0	1	1	2	2	2
1	2	2	20	12	8	3	2	2	1	1	1	1	1	2	1	0	2	0	2	2	2
2	0	1	18	13	5	2	2	2	0	2	1	1	2	2	1	0	0	2	0	1	2
2	0	2	12	8	4	2	2	0	0	0	0	1	1	1	1	2	0	1	0	1	2
2	1	1	16	9	7	2	1	0	0	2	1	1	2	2	0	0	0	2	2	1	2
2	1	2	9	6	3	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	2
2	2	1	16	11	5	2	1	1	1	2	1	1	2	2	0	0	0	2	0	1	2
2	2	2	11	7	4	2	1	0	1	1	1	1	1	1	0	0	0	1	0	1	2
3	0	1	19	12	7	3	2	2	1	0	2	2	2	1	0	0	1	2	1	1	2
3	0	2	18	11	7	2	1	2	1	0	1	2	1	2	1	0	1	2	1	1	2
3	1	1	14	10	4	2	2	1	0	1	2	1	2	1	0	0	0	2	0	0	2
3	1	2	16	10	6	2	2	2	0	1	1	2	1	1	0	0	0	2	0	2	2
3	2	1	29	19	10	5	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
3	2	2	28	19	9	4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1
4	0	1	9	6	3	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	2
4	0	2	17	8	9	2	0	2	0	0	1	2	0	2	0	1	2	1	2	2	2
4	1	1	20	14	6	3	1	0	1	2	2	1	2	2	1	2	2	0	2	0	2
4	1	2	24	15	9	3	1	2	1	2	2	2	0	2	1	2	2	1	2	2	2
4	2	1	26	19	7	3	2	2	1	2	2	2	2	2	2	2	2	0	2	1	2
4	2	2	24	16	8	3	2	2	1	2	2	2	1	2	1	1	2	1	2	2	1
5	0	1	13	8	5	1	2	2	0	0	0	1	2	1	0	0	0	2	0	1	2
5	0	2	17	10	7	1	2	2	0	0	0	2	2	2	0	0	0	2	1	2	2
5	1	1	15	8	7	2	2	0	0	1	1	1	2	1	0	0	1	2	1	1	2
5	1	2	16	6	10	1	2	0	0	0	1	1	1	1	0	0	2	2	2	2	2
5	2	1	21	12	9	3	2	0	0	1	1	1	2	2	1	2	2	2	2	1	2
5	2	2	22	12	10	2	2	2	1	0	2	1	1	2	0	1	2	2	2	2	2
6	0	1	12	8	4	2	2	0	1	1	1	1	1	1	0	0	0	2	0	0	2
6	0	2	15	9	6	2	2	1	0	0	2	1	1	2	0	0	0	1	1	2	2
6	1	1	19	16	3	3	2	2	2	1	2	1	2	2	1	1	0	2	0	0	1
6	1	2	21	15	6	3	2	2	2	0	1	2	1	2	1	2	0	2	1	1	2
6	2	1	24	14	10	3	2	2	1	1	2	1	2	2	1	0	2	2	2	2	2
6	2	2	27	17	10	4	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2
7	0	1	14	10	4	1	2	2	1	1	1	1	1	1	0	0	0	2	0	0	2
7	0	2	17	12	5	2	2	2	1	0	1	2	1	2	1	0	0	1	1	1	2
7	1	1	15	11	4	2	2	1	1	1	1	1	1	2	0	1	0	2	0	0	2
7	1	2	20	14	6	3	2	2	1	0	2	2	1	2	1	1	0	2	1	1	2
7	2	1	29	19	10	5	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
7	2	2	30	20	10	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
8	0	1	9	5	4	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	2
8	0	2	13	6	7	1	0	0	1	0	1	1	0	1	1	1	0	1	2	2	2
8	1	1	11	8	3	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	2
8	1	2	12	9	3	1	0	0	1	1	1	2	0	2	1	1	0	1	0	0	2
8	2	1	29	19	10	4	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
8	2	2	27	17	10	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2
9	0	1	21	17	4	3	2	2	1	1	1	2	2	2	2	2	0	2	0	0	2
9	0	2	14	10	4	2	2	2	0	0	1	2	1	1	1	0	0	2	0	0	2
9	1	1	20	16	4	3	2	2	1	1	1	2	2	2	1	2	0	2	0	0	2
9	1	2	17	13	4	2	2	2	0	0	1	2	2	2	1	1	0	2	0	0	2
9	2	1	26	19	7	4	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2
9	2	2	22	15	7	2	2	2	1	0	2	2	2	2	1	1	1	2	1	1	2
