SUBJ	QTR	N-S-IS	N-C-IS	PREF-IS	COMF-ISC	N-S-SC	N-C-SC	PREF-SC	COMF-CSC	N-S-IN	N-C-IN	PREF-IN	COMF-INC	N-S-A	N-C-A	PREF-A	COMF-AC	N-S-S	N-C-S	PREF-S	COMF-S	N-S-F	N-C-F	PREF-F	COMF-FC	N-S-FI	N-C-FI	PREF-FI	COMF-FIC	N-S-SCIA	N-C-SCIA	PREF-SCIA	COMF-SCIAC	N-S-POP	N-C-POP	PREF-POP	COMF-POPC	N-S-TAP	N-C-TAP	PREF-TAP	COMF-TAPC	N-S-PARA	N-C-PARA	PREF-PARA	COMF-PARAC	Avgblocksuccessrate(p)	Numberofinadvertentvascularpunturew/oinjection(n)	Numberofintravascularinjectionsresultinginseizuresorcardiacarrest(n)	Obstacles:Inadequateproceduralskills	Obstacles:AvailabilityofUSequipment	Obstacles:Timepressure	Obstacles:Lackofsupportfromsurgeons	Obstacles:Lackofsupportfromotherhealthcareproviders	Obstacles:Preferenceforothernervelocalizationtechniques	Obstacles:Patientcompliance	Obstacles:Patientrefusal	Obstacles:Patientpathology	Obstacles:other	EffectiveTeachingMethods:Lectures	EffectiveTeachingMethods:Scanningonmodels	EffectiveTeachingMethods:Phantompractice	EffectiveTeachingMethods:Observation	EffectiveTeachingMethods:Onlinetutorials	EffectiveTeachingMethods:Textbooks	EffectiveTeachingMethods:Teachingbycolleagues	EffectiveTeachingMethods:Mannequinsimulation	EffectiveTeachingMethods:Cadaverlab	UsedLearningMethods:Lectures	UsedLearningMethods:Scanningonmodels	UsedLearningMethods:Phantompractice	UsedLearningMethods:Observation	UsedLearningMethods:Onlinetutorials	UsedLearningMethods:Textbooks	UsedLearningMethods:Teachingbycolleagues	UsedLearningMethods:Mannequinsimulation	UsedLearningMethods:Cadaverlab	Feedback/Comments/Suggestions:
1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	4	2	0	2	0	0	0	0	3	4	4	4	3	3	4	5	5	0	0	0	1	1	1	1	0	0	
1	1	7	0	1	4	0	0	1	4	0	0	1	3	0	0	1	3	0	0	1	3	6	0	1	4	0	0	1	3	0	0	1	4	7	2	1	5	0	0	1	3	0	0	1	3	85	0	0	1	1	3	1	1	1	1	3	3	0	3	4	4	4	3	3	4	4	5	0	1	1	1	0	1	1	0	1	
1	2	7	0	1	5	0	0	1	3	0	0	1	3	0	0	1	4	0	0	1	4	2	0	1	4	0	0	1	4	0	0	1	4	4	1	1	5	0	0	1	3	0	0	1	3	90	0	0	1	1	3	3	1	1	1	3	3	0	4	4	4	4	3	3	5	4	4	0	0	0	1	1	1	1	0	0	
1	3	3	0	1	5	0	0	1	4	0	0	1	4	2	0	1	4	0	0	1	4	2	0	1	4	0	0	1	4	2	0	1	4	2	0	1	4	0	0	1	3	0	0	1	1	85	0	0	3	1	3	3	1	1	1	3	3	0	3	4	5	4	4	4	5	4	4	0	0	0	1	0	1	1	0	0	
1	4	2	0	1	5	0	0	1	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	5	0	0	1	1	0	0	1	1	2	0	1	5	0	0	1	1	0	0	1	1	80	0	0	3	1	3	3	2	3	2	3	3	0	3	4	4	4	4	3	5	4	4	0	0	0	1	1	1	1	0	0	
2	0	4	1	3	2	0	0	0	1	2	0	3	2	2	0	2	3	0	0	0	1	4	2	2	2	2	1	1	2	0	0	0	2	2	0	2	1	0	0	0	1	0	0	0	1	75	5	1	4	1	4	2	0	3	0	0	0	0	2	4	1	3	3	2	3	4	5	1	0	0	1	1	0	1	0	0	
2	1	15	0	3	2	0	0	3	1	5	0	1	1	0	0	2	1	0	0	2	1	10	4	3	4	10	4	1	4	1	0	2	1	4	0	1	1	0	0	1	1	0	0	1	1	95	1	0	3	1	4	3	2	2	3	3	3	0	2	4	5	5	4	2	4	5	5	0	0	0	1	0	0	1	0	0	Course was very effective in infraclavicular technique, which I did not use beforehand but do very successully now
2	2	10	1	3	2	0	0	3	1	6	0	3	1	0	0	2	1	0	0	2	1	6	3	1	4	4	2	1	3	3	0	2	1	3	0	3	1	0	0	1	1	0	0	1	1	97	1	0	5	1	5	3	2	3	2	3	2	0	3	5	2	4	2	2	5	3	3	0	0	0	1	0	0	1	0	0	0
2	3	6	1	3	3	0	0	1	1	8	0	1	1	0	0	2	1	0	0	2	1	4	2	1	4	4	4	1	4	1	0	3	1	4	1	3	3	0	0	1	1	0	0	1	1	97	0	0	3	2	3	3	2	2	3	2	2	0	2	5	2	4	2	2	4	4	4	0	0	0	1	0	0	0	0	0	workshop was very effective; just need time and repetition to increase skill and confidence
2	4	12	1	3	4	1	1	3	1	6	1	1	1	1	1	2	1	1	1	3	1	8	4	3	4	6	4	1	4	1	1	1	1	4	1	3	1	1	1	1	1	1	1	1	1	99	1	0	4	1	5	3	2	2	2	3	3	0	3	4	1	4	3	2	5	2	3	0	0	0	1	0	0	1	0	0	Requested for model who is more similar to his patient population (obese)
